Borough,Date,CreatedIncidents,ClosedIncidents
MANHATTAN,10_2010,409,266
MANHATTAN,11_2010,331,333
MANHATTAN,12_2010,280,127
MANHATTAN,1_2011,278,3
MANHATTAN,2_2011,440,76
MANHATTAN,3_2011,367,402
MANHATTAN,4_2011,525,418
MANHATTAN,5_2011,481,685
MANHATTAN,6_2011,281,492
MANHATTAN,7_2011,238,372
MANHATTAN,8_2011,128,1
MANHATTAN,9_2010,391,230
