Borough,Date,CreatedIncidents,ClosedIncidents
BROOKLYN,10_2010,343,147
BROOKLYN,11_2010,274,288
BROOKLYN,12_2010,216,173
BROOKLYN,1_2011,216,1
BROOKLYN,2_2011,266,203
BROOKLYN,3_2011,279,652
BROOKLYN,4_2011,561,249
BROOKLYN,5_2011,450,369
BROOKLYN,6_2011,375,307
BROOKLYN,7_2011,374,313
BROOKLYN,8_2011,291,1
BROOKLYN,9_2010,279,51
