Borough,Date,CreatedIncidents,ClosedIncidents
BRONX,10_2010,184,75
BRONX,11_2010,212,130
BRONX,12_2010,143,61
BRONX,1_2011,202,74
BRONX,2_2011,163,74
BRONX,3_2011,237,489
BRONX,4_2011,412,253
BRONX,5_2011,305,206
BRONX,6_2011,157,177
BRONX,7_2011,492,146
BRONX,8_2011,242,6
BRONX,9_2010,74,10
