Borough,Date,CreatedIncidents,ClosedIncidents
QUEENS,10_2010,334,109
QUEENS,11_2010,480,207
QUEENS,12_2010,149,150
QUEENS,1_2011,129,9
QUEENS,2_2011,150,172
QUEENS,3_2011,269,309
QUEENS,4_2011,441,180
QUEENS,5_2011,370,259
QUEENS,6_2011,240,267
QUEENS,7_2011,514,389
QUEENS,8_2011,225,1
QUEENS,9_2010,120,16
