Borough,Date,CreatedIncidents,ClosedIncidents
STATEN ISLAND,9-2010,14,2
STATEN ISLAND,10-2010,25,6
STATEN ISLAND,11-2010,13,14
STATEN ISLAND,12-2010,15,7
STATEN ISLAND,1-2011,6,0
STATEN ISLAND,2-2011,19,0
STATEN ISLAND,3-2011,15,39
STATEN ISLAND,4-2011,27,14
STATEN ISLAND,5-2011,18,13
STATEN ISLAND,6-2011,19,5
STATEN ISLAND,7-2011,19,17
STATEN ISLAND,8-2011,11,1
